prop_id,player_id,player_name,prop_type,side,line,event_id,home_team,away_team,game_time,player_team,opponent_team,is_home,rest_days,b2b,projection,probability,raw_model_probability,model_probability,market_probability,edge,confidence,confidence_tier,adjustments,adjustment_notes,avg_5,avg_10,avg_15,trend,recent_std,recent_hit_rate_10,recent_hit_rate_15,recent_streak,team_out_count,team_questionable_count,team_probable_count,team_out_detail,team_questionable_detail,team_probable_detail,usage_expectation,pick,odds,market_vig,edge_threshold,confidence_threshold,risk_factor,volatility_factor,volatility_ratio,odds_min,odds_max,odds_confidence_min,odds_confidence_max,confidence_cap_outside_band,reason,calibration_source,calibration_slope,calibration_intercept,injury_status,injury_source,injury_detail,odds_fetched_at,odds_source,market_over_odds,market_prob,market_under_odds
4ecbd8a26452323a:assists:3.5:over,4ecbd8a26452323a,Nicolas Claxton,assists,over,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,3,False,5.05,0.6312,0.6921,0.8765,0.5261,0.0679,0.5761,MEDIUM,"{'minutes_trend': 0.9871, 'usage_trend': 0.9998, 'rest': 1.02}","minutes trend, usage trend, extra rest, high variance, market divergence",5.4,5.0,5.066666666666666,FLAT,3.0912061651652345,0.6,0.5333333333333333,-1,0,0,0,,,,,OVER,-129,0.0707,0.0345,0.396,1.0,1.15,0.8832,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,,,
4ecbd8a26452323a:assists:3.5:under,4ecbd8a26452323a,Nicolas Claxton,assists,under,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,3,False,5.05,0.3988,0.3079,0.2235,0.4739,-0.1086,0.4231,LOW,"{'minutes_trend': 0.9871, 'usage_trend': 0.9998, 'rest': 1.02}","minutes trend, usage trend, extra rest, high variance, market divergence",5.4,5.0,5.066666666666666,FLAT,3.0912061651652345,0.4,0.4666666666666667,1,0,0,0,,,,,PASS,-103,0.0707,0.0345,0.396,1.0,1.15,0.8832,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,,,
3cfc8bdeebb00461:assists:6.5:over,3cfc8bdeebb00461,Tyrese Maxey,assists,over,6.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,4,False,6.49,0.5313,0.4978,0.5463,0.5249,-0.032,0.2,LOW,"{'minutes_trend': 0.9966, 'usage_trend': 0.9738, 'team_usage': 1.045, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home",5.6,6.0,6.4,DOWN,2.494438257849294,0.4,0.4666666666666667,-1,2,3,1,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),Teammates OUT: 2; Teammates Q: 3,PASS,-129,0.0731,0.0324,0.3792,1.0,1.08,0.3838,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,,,
3cfc8bdeebb00461:assists:6.5:under,3cfc8bdeebb00461,Tyrese Maxey,assists,under,6.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,4,False,6.49,0.4987,0.5022,0.5537,0.4751,-0.0111,0.2,LOW,"{'minutes_trend': 0.9966, 'usage_trend': 0.9738, 'team_usage': 1.045, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), extra rest, home",5.6,6.0,6.4,DOWN,2.494438257849294,0.6,0.5333333333333333,1,2,3,1,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),Teammates OUT: 2; Teammates Q: 3,PASS,-104,0.0731,0.0324,0.3792,1.0,1.08,0.3838,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,,,
7cf633d771671707:assists:2.5:over,7cf633d771671707,Michael Porter Jr,assists,over,2.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,BKN,PHI,False,3,False,,,,,,0.0,0.0,,,,3.8,3.4,3.533333333333333,FLAT,1.577621275493231,,,,3,0,2,"Haywood Highsmith (Injury/Illness - Right Knee; Surgery, Injury Recovery); Drake Powell (Injury/Illness - Right Ankle; Sprain); Cam Thomas (Injury/Illness - Left Hamstring; Strain)",,Terance Mann (Injury/Illness - N/a; Illness); Ben Saraf (Injury/Illness - Right Ankle; Sprain),,PASS,-152,,,,,,,-150,150,-120,120,0.65,ODDS_OUT_OF_RANGE,,,,,,,1766525293.7435021,odds_api,-152,0.5646164478230822,115
7cf633d771671707:assists:2.5:under,7cf633d771671707,Michael Porter Jr,assists,under,2.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,BKN,PHI,False,3,False,3.75,0.3244,0.2149,0.0654,0.4354,-0.1407,0.6649,MEDIUM,"{'minutes_trend': 0.9859, 'usage_trend': 1.0098, 'team_usage': 1.045, 'rest': 1.02, 'pace': 0.98}","minutes trend, usage trend, usage boost (injuries), extra rest, slow pace, high variance, market divergence",3.8,3.4,3.533333333333333,FLAT,1.577621275493231,0.2,0.26666666666666666,-7,3,0,2,"Haywood Highsmith (Injury/Illness - Right Knee; Surgery, Injury Recovery); Drake Powell (Injury/Illness - Right Ankle; Sprain); Cam Thomas (Injury/Illness - Left Hamstring; Strain)",,Terance Mann (Injury/Illness - N/a; Illness); Ben Saraf (Injury/Illness - Right Ankle; Sprain),Teammates OUT: 3,PASS,115,0.0683,0.0345,0.396,1.0,1.15,0.631,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,,,
e8e371aa543245b3:assists:3.5:over,e8e371aa543245b3,VJ Edgecombe,assists,over,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,4,False,4.92,0.6634,0.8157,1.0,0.5192,0.1079,0.65,MEDIUM,"{'minutes_trend': 1.1386, 'usage_trend': 1.1058, 'team_usage': 1.045, 'injury_risk': 0.97, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), injury risk, extra rest, home, high variance, market divergence, confidence cap (odds band)",3.6,3.5,3.533333333333333,FLAT,1.5811388300841898,0.5,0.4666666666666667,2,2,3,1,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),Usage up; Teammates OUT: 2; Teammates Q: 3; Player status: QUESTIONABLE,OVER,-125,0.0701,0.0345,0.396,1.0,1.15,0.4518,-150,150,-120,120,0.65,,global,1.7,-0.3,QUESTIONABLE,NBA Official Report,Injury/Illness - N/a; Illness,1766525293.7435021,odds_api,,,
e8e371aa543245b3:assists:3.5:under,e8e371aa543245b3,VJ Edgecombe,assists,under,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,PHI,BKN,True,4,False,4.92,0.3406,0.1843,0.0133,0.4808,-0.174,0.6866,MEDIUM,"{'minutes_trend': 1.1386, 'usage_trend': 1.1058, 'team_usage': 1.045, 'injury_risk': 0.97, 'rest': 1.02, 'home': 1.01}","minutes trend, usage trend, usage boost (injuries), injury risk, extra rest, home, high variance, market divergence",3.6,3.5,3.533333333333333,FLAT,1.5811388300841898,0.5,0.5333333333333333,-2,2,3,1,Trendon Watford (Injury/Illness - Left Adductor; Strain); Kelly Oubre Jr. (Injury/Illness - Left Knee; Sprain),Dominick Barlow (Injury/Illness - N/a; Illness); VJ Edgecombe (Injury/Illness - N/a; Illness); Quentin Grimes (Injury/Illness - N/a; Illness),Joel Embiid (Injury/Illness - Right Knee; Injury Management),Usage up; Teammates OUT: 2; Teammates Q: 3; Player status: QUESTIONABLE,PASS,-106,0.0701,0.0345,0.396,1.0,1.15,0.4518,-150,150,-120,120,0.65,,global,1.7,-0.3,QUESTIONABLE,NBA Official Report,Injury/Illness - N/a; Illness,1766525293.7435021,odds_api,,,
13241614e2363f7b:assists:3.5:over,13241614e2363f7b,Egor Demin,assists,over,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,3,False,3.36,0.4761,0.4703,0.4994,0.4661,-0.0239,0.17,LOW,"{'minutes_trend': 1.016, 'usage_trend': 1.0261, 'rest': 1.02}","minutes trend, usage trend, extra rest, high variance",3.0,3.2,3.466666666666667,FLAT,1.8737959096740262,0.4,0.5333333333333333,-4,0,0,0,,,,,PASS,100,0.0726,0.0345,0.396,1.0,1.15,0.5354,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,,,
13241614e2363f7b:assists:3.5:under,13241614e2363f7b,Egor Demin,assists,under,3.5,7f3e47eb90701b1603802828cc5ea7a5,PHI,BKN,2025-12-24T00:10:00Z,,,,3,False,3.36,0.5539,0.5297,0.6006,0.5339,-0.0188,0.171,LOW,"{'minutes_trend': 1.016, 'usage_trend': 1.0261, 'rest': 1.02}","minutes trend, usage trend, extra rest, high variance",3.0,3.2,3.466666666666667,FLAT,1.8737959096740262,0.6,0.4666666666666667,4,0,0,0,,,,,PASS,-134,0.0726,0.0345,0.396,1.0,1.15,0.5354,-150,150,-120,120,0.65,,global,1.7,-0.3,,,,1766525293.7435021,odds_api,,,
